top - 23:02:31 up 13 days, 12:31,  5 users,  load average: 0,07, 0,14, 0,09
Threads: 573 total,   1 running, 572 sleeping,   0 stopped,   0 zombie
%Cpu(s):  3,1 us,  4,7 sy,  0,0 ni, 89,1 id,  3,1 wa,  0,0 hi,  0,0 si,  0,0 st 
MiB Mem :   3799,2 total,    526,1 free,   1688,0 used,   1874,2 buff/cache     
MiB Swap:   3798,0 total,   3694,8 free,    103,1 used.   2111,2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 164906 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164907 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164908 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164909 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164910 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164911 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164912 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164913 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164914 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164915 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164916 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164917 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164918 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164919 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164920 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164921 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164922 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164923 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164924 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164925 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164926 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164927 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164928 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164929 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
 164930 gustavo   20   0   13,8g 248956  57792 S   0,0   6,4   0:00.00 node /o+
